,Unnamed: 0,Ulasan,Rating,Kategori,Nama Produk,Id Produk,Terjual,Id_Toko,Url,label
0,59,Pesanan gx sesuai dgn yg d gambar,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard,0
1,70,Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard,0
2,95,barang yg dikirim tidak sesuai pesanan,1,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard,0
3,117,"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",1,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566,45,1102298,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun,0
4,153,barang jelek copot&#34; terus tmpat taro isinya,2,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1,0
5,188,Beli staples gak jual isinya... hanya sekali pake.... ckckck,1,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1,0
6,255,"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",1,pertukangan,Isi / Refill Staples / Stapler Tembak / Steples / Gun Tacker 10mm,55221811,67,452241,https://www.tokopedia.com/cgrtools/isi-refill-staples-stapler-tembak-steples-gun-tacker-10mm,0
7,280,"Produk tidak sesuai, order prohex yg dikirim ini",2,pertukangan,Isi Staples Gun / Isi Gun Tacker Model Taiwan 6 mm x 11 mm PROHEX,185025248,118,828267,https://www.tokopedia.com/danstools/isi-staples-gun-isi-gun-tacker-model-taiwan-6-mm-x-11-mm-prohex,0
8,316,brg sdh diterima.................,2,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun,139363396,90,1409714,https://www.tokopedia.com/megalaris/isi-refill-staples-jok-kulit-motor-staple-gun,0
9,406,tidak bisa buat masang jok gak ke pake,2,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,68341458,163,969587,https://www.tokopedia.com/cariperkakas/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1,0
10,826,"barang datang cacat ,gak bisa di gunakan 
harusnya sblum di kirim di coba dulu",1,pertukangan,Staple Staples Steples Gun Tembak Kenmaster Gun Tacker 4 6 8mm,213653744,122,1461393,https://www.tokopedia.com/timurjaya46/staple-staples-steples-gun-tembak-kenmaster-gun-tacker-4-6-8mm,0
